filename,width,height,class,xmin,ymin,xmax,ymax
0_7175.pdf.jpg,3306,4678,Invoice number,370,709,1025,772
0_7175.pdf.jpg,3306,4678,Buyer details,166,909,1493,1320
0_7175.pdf.jpg,3306,4678,Shipped details,1549,909,2511,1323
0_7175.pdf.jpg,3306,4678,Invoice table,142,1333,2734,3028
0_7175.pdf.jpg,3306,4678,Invoice column,159,1344,256,3009
0_7175.pdf.jpg,3306,4678,Invoice column,270,1344,1011,3013
0_7175.pdf.jpg,3306,4678,Invoice column,1015,1347,1249,3006
0_7175.pdf.jpg,3306,4678,Invoice column,1253,1347,1411,3013
0_7175.pdf.jpg,3306,4678,Invoice column,1425,1340,1749,3002
0_7175.pdf.jpg,3306,4678,Invoice column,1763,1337,1935,3006
0_7175.pdf.jpg,3306,4678,Invoice column,1956,1347,2128,3016
0_7175.pdf.jpg,3306,4678,Invoice column,2135,1354,2318,2999
0_7175.pdf.jpg,3306,4678,Invoice column,2332,1344,2721,3015
0_7175.pdf.jpg,3306,4678,Footer notes,235,3037,2039,3113
0_7175.pdf.jpg,3306,4678,Footer notes,214,3190,2303,3738
0_7175.pdf.jpg,3306,4678,Seller details,716,87,2608,395
0_7175.pdf.jpg,3306,4678,Invoice date,190,769,1060,823
0_7194.pdf.jpg,3306,4678,Seller details,719,82,2614,400
0_7194.pdf.jpg,3306,4678,Invoice number,375,715,1009,772
0_7194.pdf.jpg,3306,4678,Buyer details,163,908,1494,1321
0_7194.pdf.jpg,3306,4678,Shipped details,1553,913,2494,1318
0_7194.pdf.jpg,3306,4678,Invoice table,147,1326,2729,3031
0_7194.pdf.jpg,3306,4678,Invoice column,163,1351,258,3003
0_7194.pdf.jpg,3306,4678,Invoice column,273,1344,994,3015
0_7194.pdf.jpg,3306,4678,Invoice column,1012,1346,1263,3018
0_7194.pdf.jpg,3306,4678,Invoice column,1273,1344,1409,3023
0_7194.pdf.jpg,3306,4678,Invoice column,1430,1344,1743,3013
0_7194.pdf.jpg,3306,4678,Invoice column,1773,1354,1932,3005
0_7194.pdf.jpg,3306,4678,Invoice column,1953,1349,2127,3008
0_7194.pdf.jpg,3306,4678,Invoice column,2143,1341,2317,3003
0_7194.pdf.jpg,3306,4678,Invoice column,2335,1346,2716,3013
0_7194.pdf.jpg,3306,4678,Footer notes,227,3041,1820,3108
0_7194.pdf.jpg,3306,4678,Footer notes,215,3182,2309,3736
0_7194.pdf.jpg,3306,4678,Invoice date,180,767,1073,823
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Invoice number,137,841,873,928
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Invoice table,121,2227,3204,3506
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Invoice column,135,2237,235,3468
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Invoice column,215,2233,1128,3468
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Invoice column,1146,2237,1349,3468
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Invoice column,1373,2244,1573,3471
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Invoice column,1594,2240,1877,3471
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Invoice column,1863,2240,2153,3475
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Invoice column,2187,2240,2411,3475
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Invoice column,2432,2240,2670,3475
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Invoice column,2694,2237,2932,3475
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Invoice column,2956,2237,3184,3471
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Buyer details,129,1645,857,2238
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Shipped details,1566,1644,2277,2240
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Seller details,102,1021,1128,1578
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Invoice date,142,941,825,1023
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Footer notes,151,3699,1468,3961
0_72-RL-20200206-GST_Invoice 20200316 101625.pdf.jpg,3306,4672,Footer notes,140,4030,1751,4278
